TRAIN
TUNE
Accuracy of Beta: 0.0
Accuracy of Helix: 0.5377358490566038
Accuracy of Coil: 0.8280930992241732
Overall accuracy: 0.563501276990945
TEST
Accuracy of Beta: 0.0
Accuracy of Helix: 0.5078534031413613
Accuracy of Coil: 0.859375
Overall accuracy: 0.5792053663570691
TRAIN
Accuracy of Beta: 0.0
Accuracy of Helix: 0.5987210231814548
Accuracy of Coil: 0.81793254729915
Overall accuracy: 0.6109953875911323
TUNE
Accuracy of Beta: 0.0
Accuracy of Helix: 0.5444743935309974
Accuracy of Coil: 0.8370763576970192
Overall accuracy: 0.5697701416299048
TEST
Accuracy of Beta: 0.0
Accuracy of Helix: 0.5130890052356021
Accuracy of Coil: 0.8662109375
Overall accuracy: 0.5841073271413829
TRAIN
Accuracy of Beta: 0.0
Accuracy of Helix: 0.6027178257394085
Accuracy of Coil: 0.8217713188922402
Overall accuracy: 0.6141943163219759
TUNE
Accuracy of Beta: 0.0
Accuracy of Helix: 0.5485175202156334
Accuracy of Coil: 0.8399346672111065
Overall accuracy: 0.572091943348038
TEST
Accuracy of Beta: 0.0
Accuracy of Helix: 0.5267015706806283
Accuracy of Coil: 0.865234375
Overall accuracy: 0.5869453044375645
TRAIN
Accuracy of Beta: 0.0
Accuracy of Helix: 0.6048494537703171
Accuracy of Coil: 0.8227310117905128
Overall accuracy: 0.6153102216932004
TUNE
Accuracy of Beta: 0.0
Accuracy of Helix: 0.5592991913746631
Accuracy of Coil: 0.8427929767251939
Overall accuracy: 0.575574645925238
TEST
Accuracy of Beta: 0.0
Accuracy of Helix: 0.5361256544502618
Accuracy of Coil: 0.86669921875
Overall accuracy: 0.5900412796697626
TRAIN
Accuracy of Beta: 0.0
Accuracy of Helix: 0.6056488142819078
Accuracy of Coil: 0.8249245955579929
Overall accuracy: 0.6167237018300848
TUNE
Accuracy of Beta: 0.0
Accuracy of Helix: 0.5633423180592992
Accuracy of Coil: 0.8419763168640262
Overall accuracy: 0.5758068260970514
TEST
Accuracy of Beta: 0.0
Accuracy of Helix: 0.5392670157068062
Accuracy of Coil: 0.86328125
Overall accuracy: 0.5890092879256966
TRAIN
Accuracy of Beta: 4.175365344467641E-4
Accuracy of Helix: 0.6075139888089528
Accuracy of Coil: 0.8254729914998629
Overall accuracy: 0.6176164261270645
TUNE
Accuracy of Beta: 0.0
Accuracy of Helix: 0.5673854447439353
Accuracy of Coil: 0.8436096365863618
Overall accuracy: 0.5774320872997446
TEST
Accuracy of Beta: 0.0
Accuracy of Helix: 0.5403141361256545
Accuracy of Coil: 0.86572265625
Overall accuracy: 0.5905572755417957
TRAIN
Accuracy of Beta: 0.012943632567849687
Accuracy of Helix: 0.606181721289635
Accuracy of Coil: 0.8256100904853304
Overall accuracy: 0.6195506621038536
TUNE
Accuracy of Beta: 0.00985663082437276
Accuracy of Helix: 0.5646900269541779
Accuracy of Coil: 0.8456512862392813
Overall accuracy: 0.5806826097051312
TEST
Accuracy of Beta: 0.009163802978235968
Accuracy of Helix: 0.5340314136125655
Accuracy of Coil: 0.86474609375
Overall accuracy: 0.5905572755417957
TRAIN
Accuracy of Beta: 0.054279749478079335
Accuracy of Helix: 0.586730615507594
Accuracy of Coil: 0.8243761996161229
Overall accuracy: 0.6208153548579081
TUNE
Accuracy of Beta: 0.04121863799283154
Accuracy of Helix: 0.5485175202156334
Accuracy of Coil: 0.8460596161698652
Overall accuracy: 0.586254933828651
TEST
Accuracy of Beta: 0.058419243986254296
Accuracy of Helix: 0.5099476439790576
Accuracy of Coil: 0.86083984375
Overall accuracy: 0.5936532507739938
TRAIN
Accuracy of Beta: 0.10647181628392484
Accuracy of Helix: 0.5643485211830536
Accuracy of Coil: 0.8230052097614478
Overall accuracy: 0.623121559291772
TUNE
Accuracy of Beta: 0.08333333333333333
Accuracy of Helix: 0.5202156334231806
Accuracy of Coil: 0.8452429563086974
Overall accuracy: 0.5918272579521708
TEST
Accuracy of Beta: 0.12142038946162657
Accuracy of Helix: 0.4931937172774869
Accuracy of Coil: 0.8603515625
Overall accuracy: 0.6034571723426213
TRAIN
Accuracy of Beta: 0.1549060542797495
Accuracy of Helix: 0.550226485478284
Accuracy of Coil: 0.8201261310666301
Overall accuracy: 0.6262460943312007
TUNE
Accuracy of Beta: 0.13172043010752688
Accuracy of Helix: 0.49865229110512127
Accuracy of Coil: 0.8415679869334423
Overall accuracy: 0.5985604829347574
TEST
Accuracy of Beta: 0.143184421534937
Accuracy of Helix: 0.47643979057591623
Accuracy of Coil: 0.85595703125
Overall accuracy: 0.6019091847265222
TRAIN
Accuracy of Beta: 0.1908141962421712
Accuracy of Helix: 0.5382360778044232
Accuracy of Coil: 0.8150534686043324
Overall accuracy: 0.6265436690968605
TUNE
Accuracy of Beta: 0.1603942652329749
Accuracy of Helix: 0.4838274932614555
Accuracy of Coil: 0.8362596978358514
Overall accuracy: 0.600417924309264
TEST
Accuracy of Beta: 0.18213058419243985
Accuracy of Helix: 0.46282722513089003
Accuracy of Coil: 0.85498046875
Overall accuracy: 0.6068111455108359
TRAIN
Accuracy of Beta: 0.22630480167014613
Accuracy of Helix: 0.5315747402078337
Accuracy of Coil: 0.8106663010693721
Overall accuracy: 0.6286266924564797
TUNE
Accuracy of Beta: 0.18727598566308243
Accuracy of Helix: 0.477088948787062
Accuracy of Coil: 0.8329930583911801
Overall accuracy: 0.6043649872300906
TEST
Accuracy of Beta: 0.20847651775486828
Accuracy of Helix: 0.4523560209424084
Accuracy of Coil: 0.8525390625
Overall accuracy: 0.608875128998968
TRAIN
Accuracy of Beta: 0.2572025052192067
Accuracy of Helix: 0.5286437516653344
Accuracy of Coil: 0.8069646284617494
Overall accuracy: 0.6313048653474186
TUNE
Accuracy of Beta: 0.21415770609318996
Accuracy of Helix: 0.4716981132075472
Accuracy of Coil: 0.8280930992241732
Overall accuracy: 0.6076155096354772
TEST
Accuracy of Beta: 0.23367697594501718
Accuracy of Helix: 0.4387434554973822
Accuracy of Coil: 0.84912109375
Overall accuracy: 0.609391124871001
TRAIN
Accuracy of Beta: 0.2868475991649269
Accuracy of Helix: 0.5230482280841993
Accuracy of Coil: 0.8032629558541267
Overall accuracy: 0.6330159202499628
TUNE
Accuracy of Beta: 0.239247311827957
Accuracy of Helix: 0.4636118598382749
Accuracy of Coil: 0.8231931400571662
Overall accuracy: 0.6099373113536104
TEST
Accuracy of Beta: 0.2611683848797251
Accuracy of Helix: 0.43455497382198954
Accuracy of Coil: 0.8447265625
Overall accuracy: 0.6122291021671826
TRAIN
Accuracy of Beta: 0.31816283924843425
Accuracy of Helix: 0.5201172395417
Accuracy of Coil: 0.799835481217439
Overall accuracy: 0.6359172742151465
TUNE
Accuracy of Beta: 0.25448028673835127
Accuracy of Helix: 0.4636118598382749
Accuracy of Coil: 0.8219681502654145
Overall accuracy: 0.613187833758997
TEST
